ANNO,MESE,TIPO_ATTO,TOTALE,MEDIA_GG_APPROVAZIONE,TOTALE_IMPEGNATO,TOTALE_MANDATI_COLLEGATI
2023,7,ATTI DI LIQUIDAZIONE,42,,0,0
2023,7,DELIBERA DI GIUNTA,10,3.5,0,0
2023,7,DETERMINAZIONI,13,,204181.09,5000
2023,7,ORDINANZE,3,,0,0
2023,6,ATTI DI LIQUIDAZIONE,70,,0,0
2023,6,DECRETI,1,,0,0
2023,6,DELIBERA DI CONSIGLIO,4,14,0,0
2023,6,DELIBERA DI GIUNTA,11,2,0,0
2023,6,DETERMINAZIONI,36,,46599.71,17992.9
2023,6,ORDINANZE,5,,0,0
2023,5,ATTI DI LIQUIDAZIONE,80,,0,0
2023,5,DELIBERA DI GIUNTA,17,3.1764706,0,0
2023,5,DETERMINAZIONI,44,,212810.47,152309.64
2023,5,ORDINANZE,12,,0,0
2023,4,ATTI DI LIQUIDAZIONE,57,,0,0
2023,4,DELIBERA DI CONSIGLIO,11,23,0,0
2023,4,DELIBERA DI GIUNTA,11,2.1818182,0,0
2023,4,DETERMINAZIONI,21,,233290.7,55064.44
2023,4,ORDINANZE,8,,0,0
2023,3,ATTI DI LIQUIDAZIONE,61,,0,0
2023,3,DELIBERA DI GIUNTA,24,2.1666667,0,0
2023,3,DETERMINAZIONI,42,,51887.94,14294.94
2023,3,ORDINANZE,11,,0,0
2023,2,ATTI DI LIQUIDAZIONE,100,,0,0
2023,2,DELIBERA DI GIUNTA,14,2.0714286,0,0
2023,2,DETERMINAZIONI,35,,910488.3,454642.12
2023,2,ORDINANZE,1,,0,0
2023,1,ATTI DI LIQUIDAZIONE,69,,0,0
2023,1,DECRETI,1,,0,0
2023,1,DELIBERA DI CONSIGLIO,5,19,0,0
2023,1,DELIBERA DI GIUNTA,7,1.5714286,0,0
2023,1,DETERMINAZIONI,28,,191839.31,53379
2023,1,ORDINANZE,4,,0,0
2022,12,ATTI DI LIQUIDAZIONE,80,,0,0
2022,12,DECRETI,7,,0,0
2022,12,DELIBERA DI CONSIGLIO,4,19,0,0
2022,12,DELIBERA DI GIUNTA,31,2.6129032,0,0
2022,12,DETERMINAZIONI,83,,1009499.21,175535.22
2022,12,ORDINANZE,3,,0,0
2022,11,ATTI DI LIQUIDAZIONE,72,,0,0
2022,11,DECRETI,5,,0,0
2022,11,DELIBERA DI CONSIGLIO,8,23,0,0
2022,11,DELIBERA DI GIUNTA,23,2.24,80000,0
2022,11,DETERMINAZIONI,39,,413043.37,124934.91
2022,11,ORDINANZE,3,,0,0
2022,10,ATTI DI LIQUIDAZIONE,63,,0,0
2022,10,DECRETI,3,,0,0
2022,10,DELIBERA DI GIUNTA,24,3.08,2362000,0
2022,10,DETERMINAZIONI,31,,289330.78,53991.03
2022,10,ORDINANZE,8,,0,0
2022,9,ATTI DI LIQUIDAZIONE,47,,0,0
2022,9,DECRETI,3,,0,0
2022,9,DELIBERA DI CONSIGLIO,10,22,0,0
2022,9,DELIBERA DI GIUNTA,12,1.3333333,0,0
2022,9,DETERMINAZIONI,38,,271842.54,79189.02
2022,9,ORDINANZE,11,,0,0
2022,8,ATTI DI LIQUIDAZIONE,59,,0,0
2022,8,DECRETI,4,,0,0
2022,8,DELIBERA DI CONSIGLIO,3,21,0,0
2022,8,DELIBERA DI GIUNTA,19,0.63157895,0,0
2022,8,DETERMINAZIONI,30,,118948.51,28135.48
2022,8,ORDINANZE,5,,0,0
2022,7,ATTI DI LIQUIDAZIONE,63,,0,0
2022,7,DECRETI,2,,0,0
2022,7,DELIBERA DI CONSIGLIO,6,36,0,0
2022,7,DELIBERA DI GIUNTA,9,1.2222222,0,0
2022,7,DETERMINAZIONI,31,,283765.03,243632.91
2022,7,ORDINANZE,4,,0,0
2022,6,ATTI DI LIQUIDAZIONE,62,,0,0
2022,6,DECRETI,2,,0,0
2022,6,DELIBERA DI GIUNTA,14,1.2142857,0,0
2022,6,DETERMINAZIONI,27,,194367.8,187283.92
2022,6,ORDINANZE,5,,0,0
2022,5,ATTI DI LIQUIDAZIONE,53,,0,0
2022,5,DECRETI,3,,0,0
2022,5,DELIBERA DI CONSIGLIO,12,20,0,0
2022,5,DELIBERA DI GIUNTA,21,1.6666667,0,0
2022,5,DETERMINAZIONI,36,,100597.62,88546.83
2022,5,ORDINANZE,11,,0,0
2022,4,ATTI DI LIQUIDAZIONE,61,,0,0
2022,4,DECRETI,2,,0,0
2022,4,DELIBERA DI GIUNTA,20,1,0,0
2022,4,DETERMINAZIONI,39,,199125.78,146337.35
2022,4,ORDINANZE,7,,0,0
2022,3,ATTI DI LIQUIDAZIONE,72,,0,0
2022,3,DELIBERA DI CONSIGLIO,10,8,0,0
2022,3,DELIBERA DI GIUNTA,14,1.3571429,0,0
2022,3,DETERMINAZIONI,25,,702919.29,770820.87
2022,3,ORDINANZE,3,,0,0
2022,2,ATTI DI LIQUIDAZIONE,78,,0,0
2022,2,DECRETI,1,,0,0
2022,2,DELIBERA DI GIUNTA,32,1.9375,0,0
2022,2,DETERMINAZIONI,24,,11629.72,6880.51
2022,2,ORDINANZE,6,,0,0
2022,1,ATTI DI LIQUIDAZIONE,80,,0,0
2022,1,DECRETI,5,,0,0
2022,1,DELIBERA DI GIUNTA,6,0.5,0,0
2022,1,DETERMINAZIONI,28,,16382.18,16960.05
2022,1,ORDINANZE,3,,0,0
2021,12,ATTI DI LIQUIDAZIONE,78,,0,0
2021,12,DECRETI,11,,0,0
2021,12,DELIBERA DI CONSIGLIO,4,3,0,0
2021,12,DELIBERA DI GIUNTA,11,1.3636364,0,0
2021,12,DETERMINAZIONI,75,,225390.47,59915.79
2021,12,ORDINANZE,6,,0,0
2021,11,ATTI DI LIQUIDAZIONE,80,,0,0
2021,11,DECRETI,3,,0,0
2021,11,DELIBERA DI CONSIGLIO,4,14,0,0
2021,11,DELIBERA DI GIUNTA,25,1.2,0,0
2021,11,DETERMINAZIONI,42,,926045.48,818577.13
2021,11,ORDINANZE,3,,0,0
2021,10,ATTI DI LIQUIDAZIONE,75,,0,0
2021,10,DECRETI,5,,0,0
2021,10,DELIBERA DI CONSIGLIO,11,6,0,0
2021,10,DELIBERA DI GIUNTA,5,1,0,0
2021,10,DETERMINAZIONI,26,,61724.49,35656.96
2021,10,ORDINANZE,7,,0,0
2021,9,ATTI DI LIQUIDAZIONE,55,,0,0
2021,9,DELIBERA DI GIUNTA,8,0.25,0,0
2021,9,DETERMINAZIONI,37,,495069.6,274093.84
2021,9,ORDINANZE,1,,0,0
2021,8,ATTI DI LIQUIDAZIONE,67,,0,0
2021,8,DECRETI,3,,0,0
2021,8,DELIBERA DI GIUNTA,11,0.23076923,166955.57,66106.44
2021,8,DETERMINAZIONI,43,,986406.52,578740.79
2021,8,ORDINANZE,4,,0,0
2021,7,ATTI DI LIQUIDAZIONE,76,,0,0
2021,7,DECRETI,2,,0,0
2021,7,DELIBERA DI CONSIGLIO,4,44,0,0
2021,7,DELIBERA DI GIUNTA,12,1,0,0
2021,7,DETERMINAZIONI,44,,88766.32,82153.78
2021,7,ORDINANZE,10,,0,0
2021,6,ATTI DI LIQUIDAZIONE,52,,0,0
2021,6,DECRETI,1,,0,0
2021,6,DELIBERA DI CONSIGLIO,4,20,0,0
2021,6,DELIBERA DI GIUNTA,16,1.3125,0,0
2021,6,DETERMINAZIONI,27,,345206.11,127862.18
2021,6,ORDINANZE,8,,0,0
2021,5,ATTI DI LIQUIDAZIONE,55,,0,0
2021,5,DECRETI,1,,0,0
2021,5,DELIBERA DI CONSIGLIO,10,27,0,0
2021,5,DELIBERA DI GIUNTA,10,0.6,0,0
2021,5,DETERMINAZIONI,36,,125481.86,106963.78
2021,5,ORDINANZE,6,,0,0
2021,4,ATTI DI LIQUIDAZIONE,65,,0,0
2021,4,DECRETI,3,,0,0
2021,4,DELIBERA DI GIUNTA,17,0,0,0
2021,4,DETERMINAZIONI,37,,103386.18,57092.2
2021,4,ORDINANZE,12,,0,0
2021,3,ATTI DI LIQUIDAZIONE,67,,0,0
2021,3,DELIBERA DI CONSIGLIO,6,4,0,0
2021,3,DELIBERA DI GIUNTA,14,0,0,0
2021,3,DETERMINAZIONI,31,,779624.83,665853.67
2021,3,ORDINANZE,14,,0,0
2021,2,ATTI DI LIQUIDAZIONE,42,,0,0
2021,2,DECRETI,1,,0,0
2021,2,DELIBERA DI CONSIGLIO,7,12,0,0
2021,2,DELIBERA DI GIUNTA,18,1.3333333,0,0
2021,2,DETERMINAZIONI,20,,466101.25,282540.85
2021,2,ORDINANZE,4,,0,0
2021,1,ATTI DI LIQUIDAZIONE,73,,0,0
2021,1,DECRETI,2,,0,0
2021,1,DELIBERA DI GIUNTA,6,1.3333333,0,0
2021,1,DETERMINAZIONI,28,,70024.76,53830.7
2021,1,ORDINANZE,7,,0,0
2020,12,ATTI DI LIQUIDAZIONE,48,,0,0
2020,12,DECRETI,8,,0,0
2020,12,DELIBERA DI CONSIGLIO,3,15,0,0
2020,12,DELIBERA DI GIUNTA,15,5.3333333,0,0
2020,12,DETERMINAZIONI,56,,509753.5,127293.88
2020,12,ORDINANZE,1,,0,0
2020,11,ATTI DI LIQUIDAZIONE,83,,0,0
2020,11,DECRETI,5,,0,0
2020,11,DELIBERA DI CONSIGLIO,8,43,0,0
2020,11,DELIBERA DI GIUNTA,12,2.0833333,0,0
2020,11,DETERMINAZIONI,28,,131421.74,99586.52
2020,11,ORDINANZE,8,,0,0
2020,10,ATTI DI LIQUIDAZIONE,48,,0,0
2020,10,DECRETI,1,,0,0
2020,10,DELIBERA DI GIUNTA,10,0,191000,0
2020,10,DETERMINAZIONI,49,,133505.61,101585.11
2020,10,ORDINANZE,5,,0,0
2020,9,ATTI DI LIQUIDAZIONE,55,,0,0
2020,9,DELIBERA DI CONSIGLIO,6,7.8333333,0,0
2020,9,DELIBERA DI GIUNTA,16,0.375,0,0
2020,9,DETERMINAZIONI,37,,381621.81,198121.4
2020,9,ORDINANZE,13,,0,0
2020,8,ATTI DI LIQUIDAZIONE,50,,0,0
2020,8,DECRETI,1,,0,0
2020,8,DELIBERA DI CONSIGLIO,3,1,0,0
2020,8,DELIBERA DI GIUNTA,13,0.30769231,0,0
2020,8,DETERMINAZIONI,25,,162029.42,152596.79
2020,8,ORDINANZE,2,,0,0
2020,7,ATTI DI LIQUIDAZIONE,46,,0,0
2020,7,DECRETI,8,,0,0
2020,7,DELIBERA DI GIUNTA,6,2.6666667,0,0
2020,7,DETERMINAZIONI,28,,1432644.99,635667.74
2020,7,ORDINANZE,6,,0,0
2020,6,ATTI DI LIQUIDAZIONE,74,,0,0
2020,6,DECRETI,1,,0,0
2020,6,DELIBERA DI CONSIGLIO,9,14,0,0
2020,6,DELIBERA DI GIUNTA,14,1.1428571,0,0
2020,6,DETERMINAZIONI,24,,304611.46,169971.82
2020,6,ORDINANZE,14,,0,0
2020,5,ATTI DI LIQUIDAZIONE,48,,0,0
2020,5,DECRETI,1,,0,0
2020,5,DELIBERA DI GIUNTA,6,2.6666667,0,0
2020,5,DETERMINAZIONI,32,,182102.51,113945.34
2020,5,ORDINANZE,4,,0,0
2020,4,ATTI DI LIQUIDAZIONE,60,,0,0
2020,4,DECRETI,2,,0,0
2020,4,DELIBERA DI CONSIGLIO,5,12,0,0
2020,4,DELIBERA DI GIUNTA,11,1,0,0
2020,4,DETERMINAZIONI,43,,20993.33,14839.03
2020,4,ORDINANZE,9,,0,0
2020,3,ATTI DI LIQUIDAZIONE,78,,0,0
2020,3,DECRETI,4,,0,0
2020,3,DELIBERA DI CONSIGLIO,4,1,0,0
2020,3,DELIBERA DI GIUNTA,11,3.4545455,0,0
2020,3,DETERMINAZIONI,43,,1036292.8,815490.87
2020,3,ORDINANZE,10,,0,0
2020,2,ATTI DI LIQUIDAZIONE,49,,0,0
2020,2,DECRETI,1,,0,0
2020,2,DELIBERA DI GIUNTA,9,1.4444444,0,0
2020,2,DETERMINAZIONI,40,,393156.6,231423.53
2020,2,ORDINANZE,8,,0,0
2020,1,ATTI DI LIQUIDAZIONE,7,,0,0
2020,1,DECRETI,6,,0,0
2020,1,DELIBERA DI GIUNTA,16,6.9375,0,0
2020,1,DETERMINAZIONI,22,,44878.09,28331.36
2020,1,ORDINANZE,3,,0,0
2019,12,DELIBERA DI CONSIGLIO,15,51,0,0
2019,12,DELIBERA DI GIUNTA,22,8.3793103,1108177.82,214927.78
2019,12,DETERMINAZIONI,68,,470072.31,133628.38
2019,12,ORDINANZE,2,,0,0
2019,11,DELIBERA DI GIUNTA,24,10.25,0,0
2019,11,DETERMINAZIONI,39,,94558.69,69019.78
2019,11,ORDINANZE,11,,0,0
2019,10,DELIBERA DI GIUNTA,3,1,0,0
2019,10,DETERMINAZIONI,47,,1027477.79,359164.82
2019,10,ORDINANZE,4,,0,0
2019,9,DELIBERA DI CONSIGLIO,7,19,0,0
2019,9,DELIBERA DI GIUNTA,20,1,0,0
2019,9,DETERMINAZIONI,31,,297039.03,180146.77
2019,9,ORDINANZE,3,,0,0
2019,8,DELIBERA DI GIUNTA,10,2.1,0,0
2019,8,DETERMINAZIONI,41,,1548248.22,618292.19
2019,8,ORDINANZE,11,,0,0
2019,7,DELIBERA DI CONSIGLIO,6,2,0,0
2019,7,DELIBERA DI GIUNTA,12,1.6666667,0,0
2019,7,DETERMINAZIONI,29,,391641.28,265126.12
2019,7,ORDINANZE,6,,0,0
2019,6,DELIBERA DI GIUNTA,18,7.7777778,0,0
2019,6,DETERMINAZIONI,30,,64781.89,49589.28
2019,6,ORDINANZE,6,,0,0
2019,5,DELIBERA DI CONSIGLIO,3,16,0,0
2019,5,DELIBERA DI GIUNTA,12,9.6666667,0,0
2019,5,DETERMINAZIONI,49,,291781.73,176344.43
2019,5,ORDINANZE,6,,0,0
2019,4,DELIBERA DI GIUNTA,15,2.6666667,0,0
2019,4,DETERMINAZIONI,36,,1011673.22,745192.49
2019,4,ORDINANZE,2,,0,0
2019,3,DELIBERA DI CONSIGLIO,12,51,0,0
2019,3,DELIBERA DI GIUNTA,17,4.2352941,0,0
2019,3,DETERMINAZIONI,29,,102429.96,71848.84
2019,3,ORDINANZE,7,,0,0
2019,2,DELIBERA DI GIUNTA,11,0.36363636,0,0
2019,2,DETERMINAZIONI,20,,90537.28,104404.75
2019,2,ORDINANZE,4,,0,0
2019,1,DELIBERA DI GIUNTA,7,3.4285714,0,0
2019,1,DETERMINAZIONI,36,,528104.94,218809.87
2019,1,ORDINANZE,6,,0,0
2018,12,DELIBERA DI CONSIGLIO,1,11,0,0
2018,12,DELIBERA DI GIUNTA,30,3.2857143,540465.73,116404.68
2018,12,DETERMINAZIONI,77,,2002067.01,564003.4
2018,12,ORDINANZE,8,,0,0
2018,11,DELIBERA DI CONSIGLIO,4,40,0,0
2018,11,DELIBERA DI GIUNTA,14,3,0,0
2018,11,DETERMINAZIONI,29,,67271.66,23264.1
2018,11,ORDINANZE,8,,0,0
2018,10,DELIBERA DI CONSIGLIO,7,23.428571,0,0
2018,10,DELIBERA DI GIUNTA,17,2.7647059,0,0
2018,10,DETERMINAZIONI,38,,167902.34,102266.71
2018,10,ORDINANZE,7,,0,0
2018,9,DELIBERA DI CONSIGLIO,2,2,0,0
2018,9,DELIBERA DI GIUNTA,8,0.875,0,0
2018,9,DETERMINAZIONI,37,,179841.02,98256.56
2018,9,ORDINANZE,18,,0,0
2018,8,DELIBERA DI GIUNTA,10,2.8,0,0
2018,8,DETERMINAZIONI,45,,836208.88,302883.02
2018,8,ORDINANZE,9,,0,0
2018,7,DELIBERA DI CONSIGLIO,4,6,0,0
2018,7,DELIBERA DI GIUNTA,12,3.25,0,0
2018,7,DETERMINAZIONI,36,,2206762.07,836023.89
2018,7,ORDINANZE,6,,0,0
2018,6,DELIBERA DI CONSIGLIO,1,7,0,0
2018,6,DELIBERA DI GIUNTA,12,3.8333333,0,0
2018,6,DETERMINAZIONI,46,,531894.26,312134.89
2018,6,ORDINANZE,7,,0,0
2018,5,DELIBERA DI CONSIGLIO,4,53,0,0
2018,5,DELIBERA DI GIUNTA,14,4.4285714,0,0
2018,5,DETERMINAZIONI,46,,226321.06,151574.7
2018,5,ORDINANZE,6,,0,0
2018,4,DELIBERA DI CONSIGLIO,2,1,0,0
2018,4,DELIBERA DI GIUNTA,11,3.2727273,0,0
2018,4,DETERMINAZIONI,32,,1067341.97,742845.54
2018,4,ORDINANZE,4,,0,0
2018,3,DELIBERA DI CONSIGLIO,6,2,0,0
2018,3,DELIBERA DI GIUNTA,10,2.5,0,0
2018,3,DETERMINAZIONI,41,,80625.81,61789.76
2018,3,ORDINANZE,4,,0,0
2018,2,DELIBERA DI GIUNTA,14,5.5714286,0,0
2018,2,DETERMINAZIONI,30,,90732.8,125827.48
2018,2,ORDINANZE,14,,0,0
2018,1,DELIBERA DI GIUNTA,11,8.8181818,0,0
2018,1,DETERMINAZIONI,22,,82226.3,66058.53
2018,1,ORDINANZE,1,,0,0
